name	id	description	locus_count	records	last_added	last_updated
achromobacter	1	MLST	7	480	2020-02-20	2020-02-20
abaumannii	1	MLST (Oxford)	7	2088	2020-02-07	2020-02-07
abaumannii	2	MLST (Pasteur)	7	1438	2020-02-18	2020-02-18
aeromonas	1	MLST	6	656	2020-01-07	2020-01-08
aphagocytophilum	1	MLST	7	184	2019-11-14	2019-11-14
arcobacter	1	MLST	7	831	2019-02-19	2019-02-19
bcereus	1	MLST	7	2485	2020-01-28	2020-01-28
blicheniformis	14	MLST	6	47	2018-05-04	2018-05-04
bsubtilis	1	MLST	7	175	2019-12-04	2019-12-04
llactis_phage	1	MLST	5	221	2017-06-19	2017-06-19
bbacilliformis	1	MLST	7	14	2017-06-17	2017-06-17
bhenselae	1	MLST	8	36	2019-09-24	2019-09-24
bwashoensis	1	MLST	6	21	2019-08-22	2019-08-22
bordetella	3	MLST	7	96	2020-02-07	2020-02-07
bordetella	1	Bordetella core genes	1415	None	None	None
bordetella	2	Bordetella virulence associated genes	20	None	None	None
borrelia	1	MLST	8	932	2020-01-02	2020-01-02
brachyspira	5	B. hampsonii MLST	6	20	2015-02-18	2015-02-18
brachyspira	2	B. hyodysenteriae MLST	7	263	2019-12-06	2019-12-06
brachyspira	3	B. intermedia MLST	7	83	2015-07-20	2015-07-20
brachyspira	4	B. pilosicoli MLST	7	94	2019-04-23	2019-04-23
brachyspira	1	Brachyspira MLST	7	36	2012-01-18	2012-01-18
brucella	1	MLST (9 locus)	9	96	2019-09-11	2019-09-11
brucella	2	MLST (21 locus)	21	150	2019-09-11	2019-09-11
bcc	1	MLST	7	1728	2020-02-20	2020-02-20
bpseudomallei	1	MLST	7	1773	2020-01-24	2020-01-24
campylobacter_nonjejuni	5	C. concisus/curvus MLST	7	130	2015-03-11	2015-03-11
campylobacter_nonjejuni	9	C. fetus MLST	7	69	2017-02-24	2017-02-24
campylobacter_nonjejuni	1	C. helveticus MLST	7	9	2015-01-12	2015-01-12
campylobacter_nonjejuni	6	C. hyointestinalis MLST	7	134	2018-11-28	2018-11-28
campylobacter_nonjejuni	2	C. insulaenigrae MLST	7	43	2011-11-10	2011-11-10
campylobacter_nonjejuni	7	C. lanienae MLST	7	172	2018-11-27	2018-11-27
campylobacter_nonjejuni	3	C. lari MLST	7	161	2018-11-28	2018-11-28
campylobacter_nonjejuni	8	C. sputorum MLST	7	16	2011-11-18	2011-11-18
campylobacter_nonjejuni	4	C. upsaliensis MLST	7	204	2017-08-28	2017-08-28
campylobacter	1	MLST	7	10207	2020-02-18	2020-02-18
campylobacter	3	1643 Gundogdu loci	1643	None	None	None
campylobacter	6	C. coli 15-537360	1588	None	None	None
campylobacter	4	C. jejuni / C. coli cgMLST v1.0	1343	33469	2020-01-29	2020-01-29
campylobacter	7	ED pathway	7	None	None	None
campylobacter	2	eMLST (21 partial genes)	21	None	None	None
campylobacter	5	Ribosomal Protein Genes	52	None	None	None
calbicans	1	MLST	7	3566	2018-10-31	2018-10-31
cglabrata	1	MLST	6	177	2020-01-28	2020-01-28
ctropicalis	1	MLST	6	930	2020-01-24	2020-01-24
cmaltaromaticum	1	MLST	7	56	2018-04-11	2018-04-11
chlamydiales	16	Aerobic and ATP Biogenesis	16	None	None	None
chlamydiales	7	Amino Acyl tRNA Synthesis	3	None	None	None
chlamydiales	17	Aromatic Amino Acids	10	None	None	None
chlamydiales	18	Aspartate Amino Acid	5	None	None	None
chlamydiales	20	Biotin, Lipoate and Ubiquinone	6	None	None	None
chlamydiales	26	Both Purine and Pyrimidine Metabolism	4	None	None	None
chlamydiales	44	C. abortus cgMLST v1.0	959	None	None	None
