name	id	description	locus_count	records	last_added	last_updated
achromobacter	1	MLST	7	583	2024-02-07	2024-02-07
abaumannii	1	MLST (Oxford)	7	3377	2024-10-14	2024-10-14
abaumannii	2	MLST (Pasteur)	7	2722	2024-10-14	2024-10-14
abaumannii	3	cgMLST v1	2133	14813	2024-10-09	2024-10-09
abaumannii	13	Adherence	28	None	None	None
abaumannii	4	Biofilm	14	None	None	None
abaumannii	9	Class A beta-lactamases	5	None	None	None
abaumannii	10	Class B beta-lactamases (MBLs)	7	None	None	None
abaumannii	11	Class C beta-lactamases	1	None	None	None
abaumannii	12	Class D beta-lactamases (OXAs)	7	None	None	None
abaumannii	15	Effector delivery system	30	None	None	None
abaumannii	5	Efflux pumps	14	None	None	None
abaumannii	8	Enzymes	4	None	None	None
abaumannii	14	Immune modulation	9	None	None	None
abaumannii	6	Iron uptake	19	None	None	None
abaumannii	7	Quorum sensing	2	None	None	None
aeromonas	1	MLST	6	2747	2024-09-24	2024-09-24
aactinomycetemcomitans	1	MLST	7	57	2020-05-24	2020-05-24
aphagocytophilum	2	ankA	1	154	2023-11-28	2023-11-28
aphagocytophilum	3	groEL	1	199	2023-05-14	2023-05-14
aphagocytophilum	1	MLST	7	197	2023-11-28	2023-11-28
arcobacter	1	MLST	7	833	2021-02-25	2021-02-25
afumigatus	1	MLST	7	48	2014-09-16	2014-09-16
aparagallinarum	1	MLST	7	11	2023-11-01	2023-11-01
bcereus	1	MLST	7	3314	2024-09-23	2024-09-23
bcereus	2	B. anthracis cgMLST	3803	1958	2023-11-28	2023-11-28
bcereus	3	B. anthracis accessory genes	1263	None	None	None
bcereus	4	B. anthracis plasmids	10	40	2021-02-15	2021-02-15
bcereus	5	B. cereus cgMLST	1568	3963	2024-10-07	2024-10-07
blicheniformis	14	MLST	6	59	2023-12-13	2023-12-13
bsubtilis	1	MLST	7	268	2023-11-14	2023-11-14
llactis_phage	1	MLST	5	371	2023-02-20	2023-02-20
